Customer ID,Age,Gender,Annual Income,Spending Score
1,62,Male,56564,86
2,65,Male,25393,73
3,18,Male,143520,39
4,21,Male,64711,43
5,21,Male,147014,98
6,57,Female,54274,37
7,27,Female,110305,69
8,37,Male,35920,92
9,39,Male,100086,14
10,68,Male,27213,14
11,54,Male,53914,42
12,41,Female,121041,73
13,24,Female,82998,7
14,42,Male,48903,95
15,42,Male,42014,13
16,30,Female,35708,99
17,19,Male,37729,4
18,56,Female,21365,17
19,57,Female,83298,6
20,41,Male,99392,41
21,64,Male,104402,56
22,42,Female,144230,30
23,35,Female,145542,54
24,55,Male,76227,23
25,43,Female,46613,24
26,31,Male,143364,37
27,26,Male,38583,60
28,27,Female,36371,35
29,38,Female,22170,71
30,69,Male,71282,7
31,34,Male,57990,89
32,69,Female,102009,77
33,23,Male,78094,18
34,33,Male,149103,96
35,65,Male,23185,49
36,18,Female,28347,38
37,36,Female,142709,1
38,53,Female,119841,75
39,42,Male,55081,5
40,67,Female,97939,96
41,69,Female,87409,61
42,47,Male,32683,11
43,37,Male,41568,30
44,37,Female,55063,98
45,32,Female,124259,14
46,57,Female,39961,20
47,50,Female,117469,42
48,19,Male,110166,77
49,27,Female,37700,45
50,50,Female,149492,52
51,49,Male,113310,17
52,28,Male,28211,38
53,41,Female,119311,15
54,53,Female,105701,37
55,29,Female,123124,5
56,68,Female,141469,48
57,46,Female,101598,1
58,52,Male,51940,50
59,18,Male,74441,38
60,18,Female,134896,76
61,54,Male,39088,45
62,23,Female,120537,70
63,56,Male,101541,17
64,58,Female,46720,17
65,35,Female,120630,11
66,33,Male,49827,6
67,22,Female,37800,24
68,59,Female,74078,48
69,60,Female,111996,68
70,49,Female,21193,39
71,19,Female,62826,19
72,19,Female,77446,95
73,57,Male,29820,81
74,59,Male,68223,32
75,53,Female,136844,43
76,56,Female,86443,48
77,29,Male,139714,22
78,64,Male,134779,98
79,36,Male,136529,56
80,45,Male,65639,75
81,18,Female,144327,32
82,32,Female,145798,84
83,53,Male,100759,67
84,30,Male,117338,20
85,60,Male,148005,32
86,38,Male,53865,20
87,29,Female,71032,40
88,22,Male,130732,40
89,24,Male,55560,62
90,22,Male,78593,98
91,65,Female,81243,45
92,21,Female,106734,55
93,30,Female,67085,95
94,54,Male,64559,63
95,58,Female,94756,77
96,32,Female,83382,17
97,33,Male,21716,81
98,38,Female,67170,7
99,53,Male,105831,69
100,41,Female,27533,46
101,33,Female,46952,85
102,31,Male,121637,31
103,39,Male,143431,77
104,66,Female,28527,54
105,67,Female,130415,34
106,23,Male,113993,91
107,59,Female,133625,19
108,53,Male,118966,7
109,18,Male,34809,3
110,49,Male,94969,27
111,23,Female,41395,26
112,48,Female,60766,14
113,18,Female,28989,64
114,67,Female,128297,92
115,68,Female,146347,63
116,54,Male,31133,58
117,52,Female,42627,38
118,66,Male,52282,46
119,47,Male,31111,22
120,21,Female,49951,70
121,52,Male,122098,50
122,60,Female,27752,26
123,31,Male,102175,13
124,66,Male,148641,53
125,57,Male,109955,71
126,39,Female,59538,48
127,27,Female,124689,74
128,18,Female,85198,11
129,28,Female,127831,73
130,68,Male,78890,91
131,61,Female,36074,17
132,41,Female,123704,96
133,20,Male,51231,95
134,52,Male,107391,39
135,53,Female,148043,49
136,48,Male,49659,61
137,21,Female,21677,7
138,36,Male,41454,71
139,64,Female,138839,2
140,53,Male,91685,64
141,38,Female,44983,66
142,35,Male,140874,22
143,68,Female,91271,47
144,45,Female,35409,1
145,32,Female,70533,87
146,59,Female,115078,37
147,19,Female,144491,27
148,54,Female,38293,21
149,28,Male,76248,85
150,40,Female,84939,35
151,61,Male,89784,62
152,58,Female,105329,31
153,29,Male,82997,28
154,20,Female,108030,74
155,69,Male,137906,73
156,34,Female,65119,53
157,50,Male,74617,85
158,18,Female,119869,24
159,56,Male,109381,63
160,37,Male,104913,49
161,64,Male,107208,60
162,60,Female,90129,44
163,69,Male,96138,43
164,58,Female,76543,14
165,31,Female,138887,10
166,48,Female,121643,28
167,42,Female,143192,91
168,20,Male,142869,35
169,21,Female,125919,71
170,48,Male,140974,42
171,52,Female,95040,38
